1, VC2, [(1723000, 200)], []
67, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
68, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
69, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
70, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
71, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
72, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
73, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
74, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
75, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
76, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
77, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
78, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
79, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
80, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
81, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
82, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
83, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
84, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
85, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
86, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
87, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
88, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
89, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
90, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
91, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
92, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
93, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
94, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
95, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
96, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
97, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
98, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
99, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
100, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
101, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
102, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
103, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
104, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
105, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
106, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
107, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
108, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
109, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
110, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
111, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
112, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
113, VC2, [(1723000, 200), (1710000, 21), (1706100, 100), (1702400, 10), (1700000, 769)], []
